year_in_community,env_quality,val_fish_habitat,val_drinking_water,val_coastal_water,val_flood_protection,val_agriculture,val_outdoor_rec_summer,val_outdoor_rec_winter,val_fall_foliage,val_forest_climate_protection,val_forest_wood,val_forest_biodiversity,7a,7b,7c,7d,7e,7f,7g,7h,7i,7j,7k,7l,birth_year,gender,education,politics,race,adults_in_household,children_in_household,income
10,Very Good,Moderately Important,Very Important,Important,Slight Importance,Moderately Important,Very Important,Important,Moderately Important,Moderately Important,Moderately Important,Moderately Important,Somewhat Agree,Somewhat Disagree,Strongly Disagree,Somewhat Agree,Neither Disagree nor Agree,Somewhat Agree,Neither Disagree nor Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,1956,Male,4-year College Degree (Bachelor’s),Moderate,White,0,0,"More than $100,000 per year"
18,Very Good,Important,Very Important,Very Important,Moderately Important,Very Important,Very Important,Important,Very Important,Very Important,Very Important,Very Important,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,1963,Female,"Graduate or Professional Degree (Master’s, Ph.D., M.B.A., M.D., J.D., etc)",Liberal,White,1,1,"$75,001 to $100,000 per year"
22,Good,Very Important,Very Important,Very Important,Very Important,Important,Very Important,Unimportant,Moderately Important,Very Important,Important,Important,Strongly Agree,Somewhat Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,1958,Male,4-year College Degree (Bachelor’s),Prefer Not to Answer,White,2,0,"$75,001 to $100,000 per year"
22,Very Good,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Important,Very Important,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,1951,Female,4-year College Degree (Bachelor’s),Liberal,White,2,0,"More than $100,000 per year"
5,Good,Very Important,Very Important,Important,Important,Important,Very Important,Moderately Important,Important,Important,Important,Important,Strongly Agree,Somewhat Disagree,Strongly Disagree,Strongly Disagree,Somewhat Disagree,Somewhat Disagree,Strongly Agree,Somewhat Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,1954,Female,Some College or Associate’s or Technical Degree,Liberal,White,2,0,"$25,001 to $50,000 per year"
16,Very Good,Very Important,Very Important,Very Important,Very Important,Very Important,Important,Moderately Important,Important,Important,Important,Important,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,1969,Female,4-year College Degree (Bachelor’s),Conservative,White,2,2,"More than $100,000 per year"
7,Very Good,Very Important,Very Important,Very Important,Important,Very Important,Very Important,Very Important,Very Important,Very Important,Moderately Important,Very Important,Strongly Agree,Somewhat Disagree,Somewhat Disagree,Strongly Disagree,Strongly Agree,Somewhat Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,1962,Female,High School (includes GED),Moderate,White,2,1,"$25,001 to $50,000 per year"
8,Good,Important,Very Important,Very Important,Important,Very Important,Important,Moderately Important,Important,Very Important,Important,Important,Somewhat Agree,Somewhat Disagree,Strongly Disagree,Strongly Agree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Neither Disagree nor Agree,Somewhat Agree,Prefer Not to Answer,Somewhat Agree,Strongly Agree,1969,Female,"Graduate or Professional Degree (Master’s, Ph.D., M.B.A., M.D., J.D., etc)",Slightly Liberal,White,2,2,"More than $100,000 per year"
26,Good,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,1942,Female,4-year College Degree (Bachelor’s),Liberal,White,2,,"$50,001 to $75,000 per year"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Very Good,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,1952,Female,4-year College Degree (Bachelor’s),Liberal,White,1,0,"Less than $25,000 per year"
3,Fair,Very Important,Very Important,Very Important,Important,Important,Slight Importance,Slight Importance,Moderately Important,Very Important,Moderately Important,Very Important,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,1979,Male,High School (includes GED),Prefer Not to Answer,White,1,0,"$25,001 to $50,000 per year"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Good,Very Important,Very Important,Important,Moderately Important,Important,Moderately Important,Slight Importance,Very Important,Important,Important,Moderately Important,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Strongly Disagree,Neither Disagree nor Agree,Neither Disagree nor Agree,Somewhat Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Somewhat Agree,1956,Male,Some College or Associate’s or Technical Degree,Conservative,White,2,0,"$50,001 to $75,000 per year"
28,Good,Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,1954,Female,4-year College Degree (Bachelor’s),Liberal,White,2,0,"$75,001 to $100,000 per year"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Good,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Important,Very Important,Moderately Important,Very Important,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Somewhat Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Somewhat Agree,1971,Female,Some College or Associate’s or Technical Degree,Moderate,White,3,0,"$25,001 to $50,000 per year"
22,Good,Important,Very Important,Important,Very Important,Important,Very Important,Very Important,Moderately Important,Very Important,Important,Moderately Important,Strongly Agree,Strongly Disagree,Neither Disagree nor Agree,Somewhat Disagree,Somewhat Disagree,Strongly Agree,Somewhat Agree,Neither Disagree nor Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Strongly Disagree,1964,Female,"Graduate or Professional Degree (Master’s, Ph.D., M.B.A., M.D., J.D., etc)",Slightly Liberal,White,2,3,"More than $100,000 per year"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Very Good,Moderately Important,Very Important,Important,Important,Slight Importance,Important,Moderately Important,Moderately Important,Important,Slight Importance,Slight Importance,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,1959,Female,Some College or Associate’s or Technical Degree,Slightly Conservative,White,3,0,"$75,001 to $100,000 per year"
4,Very Good,Moderately Important,Very Important,Important,Important,Very Important,Very Important,Very Important,Very Important,Very Important,Slight Importance,Moderately Important,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Neither Disagree nor Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,1992,Male,Some College or Associate’s or Technical Degree,Liberal,White,2,0,"$25,001 to $50,000 per year"
9,Good,Important,Very Important,Very Important,Moderately Important,Very Important,Very Important,Very Important,Very Important,Very Important,Slight Importance,Important,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neither Disagree nor Agree,Strongly Agree,Strongly Agree,Somewhat Disagree,Strongly Agree,Strongly Disagree,Somewhat Agree,Strongly Agree,1978,Female,Some College or Associate’s or Technical Degree,Prefer Not to Answer,White,4,1,"$75,001 to $100,000 per year"
